cell,encoding
INVX32,aa1aj1ac7aj1aa1aj1ac7aj1aa1aj1ac7aj1aa1aj1ac7aj1bj7aj1ac7aj1aa1aj1ac7aj1aa1aj1ac7aj1aa1aj1ac7aj1aa1aj1ac7aj1aa1aj1ac7aj1aa1aj1ac7aj1aa1aj1ac7aj1aa1aj1ac7aj1aa1aj1ac7aj1aa1aj1ac7aj1aa1aj1ac7aj1aa1
INVX4,bj7aa3ac7aa3bj7aa3ac7aa3bj7
INVX8,bj7aa3ac7aa3bj7aa3ac7aa3bj7aa3ac7aa3bj7aa3ac7aa3bj7
ISOLANDAOX1,ad9bj3ad9ca8ca7ca8ca7ca8ai0ca8ai0ca8bf0ah8bf0ah8ba7cc0
ISOLANDAOX2,bf0bj3ad9ac1bf9ca8bf9ca8bf5ah9bf5ca8bc4bg9bc4bg9ad7bg9bc4bg9ad7cc0
ISOLANDAOX4,ad9bj3ad9ca8bb3ca8bb3ca8bh3ca8bh3ca8ba7ac4ba7ac4ba7ac4ba7ac4ba7ac4ba7ac4ba7ac4ba7ac4ba7cc0
ISOLANDAOX8,bf0bj3ad9ca8ah2ca8ah2ca8bh3ca8bh3ca8ad7ac4ad7ac4bf6ac4ad7ac4bf6ac4ad7ac4bf6ac4ad7ac4bf6ac4ad7ac4bf6ac4ad7ac4bf6ac4ad7ac4bf6ac4ad7ac4bf6cc0
ISOLANDX1,bb5ba6bb5ca9cc0bb5aa7ca9ca2ah9ca2
ISOLANDX2,bb5ba6bb5ca9aa0cd7aa7ca9aa1aa0bb7aa0aa1
ISOLANDX4,bb5ba6bb5ca9bh4bi8aa7ca9ca2bh4bb7bh4ca2bh4bb7bh4ca2
ISOLANDX8,bb5ba6bb5ca9bh4bi8aa7ca9ca2bh4bb7bh4ca2bh4bb7bh4ca2bh4bb7bh4ca2bh4bb7bh4ca2
ISOLORAOX1,bb5aa7bb5af8bb5ad7ai0ca8ai0ad7ai0ca8ai0ad7af2ad7af2ad7cc0
ISOLORAOX2,bb5aa7bb5af8bb5ad7ai0ad7ai0ad7ai0ad7ai0ad7af2ad7af2ad7af2ad7af2ad7cc0
ISOLORAOX4,bb5aa7bb5af8bb5ad7ai0ca8ai0ad7ai0ca8ai0ad7bc4af2ad7af2bc4af2ad7af2bc4af2ad7af2bc4af2ad7af2bc4cc0
ISOLORAOX8,bb5aa7bb5af8bb5ad7ai0ad7ai0ad7ai0ad7ai0ad7ai0ad7ai0ad7bc4af2ad7af2bc4af2ad7af2bc4af2ad7af2bc4af2ad7af2bc4af2ad7af2bc4af2ad7af2bc4af2ad7af2bc4af2ad7af2bc4cc0
ISOLORX1,ac7ba6bf5ba6bd2ac7aj1bj7
ISOLORX2,cc7ba6ai0ba6cc7ae8aj1bd2aj1ae8
ISOLORX4,cc7ba6ai0ba6cc7bd2aa3cc7aa3cc7aa3cc7aa3cc7
ISOLORX8,bb5ba6bb5ba6bb5ba6bb5ba6bb5bb7bh4ac7bh4bb7bh4ac7bh4bb7bh4ac7bh4bb7bh4ac7bh4bb7
LARX1,bd4ab0bg4ac9bi4bc6cc0aj8ad1bg3af3aa2af3be9ab4ad1ah5bh7be9bh7aa2bh7aa0ca7ah2bg9bh6aa0bb8aa0bb8
LARX2,bd4ab0bg4ac9bi4bc6cc0aj8ad1bg3af3aa2af3be9ab4ad1bi3bh7be9bg9aa2bg9aa0ca7ah2ca7bb8aa0ai2aa0bb8aa0bb8aa0bb8
LASRNX1,bd4ab0bd6ac9bi4cb6bc8bd0ac9be1aa9be9cb1cd2aa7ad1ac4ai0aa7be9ad1cd2cc2af9ca7ab0ba8be8ab0ag2
LASRNX2,bd4ab0bd6ac9bi4cb6bc8bd0ac9be1aa9be9cb1cd2aa7ad1ac4ai0aa7be9ad1cd2cc2af9ca7ab0ba8be8ab0bc5ab0be8
LASRQX1,bd4ab0bd6ac9bi4cb6bc8bd0ac9be1aa9be9ah3aa3aa7bf3ac4bf9ab5be9bg8aa3cc2bf3ca7ab0ba8bh6ba6be8
LASRQX2,bd4ab0bd6ac9bi4cb6bc8bd0ac9be1aa9be9ah3aa3aa7bf3ac4bf9ab5be9bg8aa3cc2bf3ca7ab0ba8bh6ba6be8ba6be2
LASRX1,bd4ab0bd6ac9bi4cb6bc8bd0ac9be1aa9be9cb1cd2aa7ad1ac4ai0aa7be9ad1cd2cc2aa0ca7ab0ba8bh6aa0bb8aa0bb8
LASRX2,bd4ab0bd6ac9bi4cb6bc8bd0ac9be1aa9be9cb1cd2cc5ad1ac4ai0cc5be9ad1cd2bb1aa0ca7ab0ba8bb8aa0ai2aa0bb8aa0bb8aa0bb8
LASX1,bd4ab0bg4ac9bi4bb9aa3be1aa9be9bg3cb7ca7ad1aj8ca3ai5be9bh7cb7aj9bh7aa0ca7bh6aa0bb8aa0bb8
LASX2,bd4cc6bg4ac9bi4bb9aa3be1aa9be9bg3cd2ca7ad1aj8ae5ai5be9aj9cd2cc2aa0ca7bb8aa0bh6aa0bb8aa0bb8aa0bb8
LATCHX1,ab1ae5bg4ac9bi4af7aa3be1ab1aa2ca5be9ae9ad1ah5cc2be9ah5aa2ah5aj1bc7ai2aj1bb8aa0bb8
LATCHX2,ab1cc6bg4ac9bi4af7aa3be1ab1aa2cb1be9ae9ad1ah5cc2be9ah5aa2ah5aa3bc7bb8aa3bh6aa3bb8aa0bb8aa0bb8
LNANDX1,bb5ba6bb8aa0bb5aa7bb8aa7bb5
LNANDX2,ca9aa7bb5aa7ca9aa7bi8aa7ae8ca9aa7bb5aa7ca9aa0bi8aa0ae8
LSDNENCLSSX1,bb3ah9cb3cc3ah9bc1bg1af8bf1
LSDNENCLSSX2,bb3ah9cb3cc3ah9bc1bg1af8bf1af8bd2
LSDNENCLSSX4,bb3ah9cb3cc3ah9bc1ah1bh9bf1bh9cd7bh9bf1bh9cd7
LSDNENCLSSX8,bb3ah9cb3cc3ah9bc1ah1bh9bf1bh9cd7bh9bf1bh9cd7bh9cb9bh9bj5bh9cb9bh9bj5
LSDNENSSX1,bd2cb7bc1bg0aa3bc1ah9bg0aa3bc1aa3bf3aa3cd7aa3cd7aa3cd7bd2cc5bd2
LSDNENSSX2,bc1aa7bc1bg0aj1bc1ah9bg0bc1aa3bg0aa3bc1aa3cd7aa3bh6aa3cd7aa3cd7aa3cd7aa3cd7bc1be0bc1
LSDNENSSX4,bc1cb7bc1bg0aa3bc1ah9bg0bc1aa3bg0aa3bc1aa3bg0aa3bc1aa3cd7aa3bc1aa3bb0aa3bh6aa3cd7aa3cd7bc1aa3bc1
LSDNENSSX8,bc1aa7bc1bg0aj1bc1ah9bg0ah9bc1aa3bg0aa3bc1aa3bg0aa3bc1aa3bg0aa3bc1aa3bg0aa3bc1aa3bd2aa3bc1aa3bd2aa3bc1aa3bd2aa3bh6aa3cd7aa3cd7bc1be0bc1
LSDNSSX1,cd5bf2cd5cd1aa3be8
LSDNSSX2,ac3bf2bh2cd1aa3be8aa3cd1
LSDNSSX4,cc4aj1cc4cd1aj1be8aj1cd1aj1be8aj1cd1
LSDNSSX8,be8aa3be8aa3be8aa3be8aa3be8aa3be8aa3be8aa3be8aa3be8aa3be8aa3be8aa3be8aa3be8
MUX21X1,ae8ad1ah8be2ai0aa7be2af8ba6ae8ba9aa0cb5
MUX21X2,cd4ad1ai9be2af0aa7be2ba2aa7bb7bb8aa0bb7aa0bb7
MUX41X1,cb0ae5ab3aa2ag0be9ad1ai0bc8ba6bj1aa2af2be9cc5bd0bf5ah9cc0be9cc1ah0cc1ah0cc1aj3ah0bj3ah2aj1ah9
MUX41X2,cb0ae5ab3aa2bb0be9ad1ai0bc8bh4ad0aa2af2be9cc5ca7ae5af8cc0be9cc1ah0cc1ah0cc1aj3ah0bc8ah9ae0ah9
NAND2X0,ca9aa7bi8ba6ca9
NAND2X1,ca9cc0ae9aa7ca9bb5aa7bb5bh9bb5
NAND2X2,ca9aa7bi8cb7ca9bb5aa7bb5ca2bh9bb7bh9aa1
NAND2X4,ca9aa7cd7aa7ca9bj7aa0bj7bh9ac7bh9bj7bh9ac7bh9bj7
NAND3X0,ca9cb7bi8cb7bi8aa7ca9
NAND3X1,be2aa7bi8ba6bi8aa7be2bb5aa7bb5ca2bh9ca2
NAND3X2,be2aa7bi8ba6bi8aa7be2bb5aa7bb5ca2ba6ca2ba6ca2
NAND3X4,be2aa7bi8ba6bi8aa7be2bb5aa7bb5bj7bh9ac7bh9bj7bh9ac7bh9bj7
NAND4X0,ca9aa7bb5cb7bb5aa7bb5cb7ca9
NAND4X1,be2aa7bi8ba6bi8aa7bi8ba6be2bb5aa7bb5bj7ad1ac7
NBUFFX16,aa1aj1ac7aj1aa1aj1ac7aa1aj1ac7aj1aa1aj1ac7aj1aa1aj1ac7aj1aa1aj1ac7aj1aa1aj1ac7aj1aa1aj1ac7aj1aa1aj1ac7aj1aa1aj1ac7aj1aa1
NBUFFX2,ae1bf2ae1bj7aa3ac7aa3bj7
NBUFFX32,aa1aj1ac7aj1aa1aj1ac7aj1aa1aj1ac7aa1aj1ac7aj1aa1aj1ac7aj1aa1aj1ac7aj1aa1aj1ac7aj1bj7aj1ac7aj1aa1aj1ac7aj1aa1aj1ac7aj1aa1aj1ac7aj1aa1aj1ac7aj1aa1aj1ac7aj1aa1aj1ac7aj1aa1aj1ac7aj1aa1aj1ac7aj1aa1aj1ac7aj1aa1aj1ac7aj1aa1aj1ac7aj1aa1
NBUFFX4,ac7ah9aa1aj1ac7aj1aa1aj1ac7aj1aa1
NBUFFX8,aa1aj1ac7aj1aa1aj1ac7aj1aa1aj1ac7aj1aa1aj1ac7aj1aa1aj1ac7aj1aa1
NMT1,ae9ba6ae9
NMT2,ab7bh4ai0bh4ab7
NMT3,af0bh4bf9bh4bd0bh4bf9bh4af0
NOR2X0,ai2aa3ai0aa3ai2ae6aa3bc0ac7aa3aa1
NOR2X1,ai2aa3ai0aa3ai2ae6aa3bc0ac7aa3aa1
NOR2X2,ac7aa3ai0aa3ac7bd3aa3bc0ac7aa3bj7aa3ac7
NOR2X4,ai2aa3ca7aa3ai2bd3aa3bc0bb7aa3cd4aa3bb7aa3cd4aa3bb7
NOR3X0,ai2aa3bf5aa3bb3aa3bb7ah8cc5bf7ac7aa3bj7
NOR3X1,ai2aa3bf5aa3bb3aa3bb7ah8cc5bf7ac7aa3bj7
NOR3X2,ai2aa3bf5aa3bb3aa3cd4ah8cc5bf7ac7aa3cd4aa3ba3
NOR3X4,ai2aa3bf5aa3bb3aa3cd4ag5cc5ca8ac7aa3cd4aa3bb7aa3cd4aa3bb7
NOR4X0,ai2aa3ai0aa3ai0aa3ai0aa3cc4bi8cc5bf7ac7aa3cd4
NOR4X1,ai2aa3ai0aa3ai0aa3ai0aa3cc4bj9cc5bf7ac7aa3cd4
OA21X1,ag2aa7ae9bf5bh1ca1bc8ba9af8ag2
OA21X2,ag2aa7ae9bf5bh1cd6bc8ba9ag2af8ba9af8ag2
OA221X1,ag2aa7ae9bf5bh1aa7ae9be0ae9cc8aa7cc8ba9af8ag2
OA221X2,ag2aa7ae9bf5bh1aa7ae9be0ae9cc8aa7cc8ag2af8ba9af8ag2
OA222X1,ag2aa7ae9bf5bh1aa7ae9be0ae9cc8aa7cb6bf5ab7ba9af8ag2
OA222X2,ag2aa7ae9bf5bh1aa7ae9bc8ae9cc8aa7cb6bf5ab7ag2af8ba9af8ag2
OA22X1,ag2aa7ae9bf5bh1cc5ae9aa7ab4ba9af8ag2
OA22X2,ag2aa7ae9bf5bh1cc5ae9cc5ab4be2af8be9af8ag2
OAI21X1,ag2aa7ae9bf5bh1cd6bc8ba9bf5aa7bf5ba9af8ag2
